nonce	nonce_disc	syl_struc	n_neighbours
tyéhó	KEhO	cvcv	0
dzsűszé	DYsE	cvcv	0
szidzu	sidzu	cvcv	0
zúdo	zUdo	cvcv	0
jofo	jofo	cvcv	0
náko	nAko	cvcv	0
díhe	dIhe	cvcv	0
zsövó	ZwvO	cvcv	0
dzásó	dzASO	cvcv	0
zapé	zapE	cvcv	0
vúsu	vUSu	cvcv	0
cafú	cafU	cvcv	0
zazse	zaZe	cvcv	0
dzsíjű	DIjY	cvcv	0
gidzsu	giDu	cvcv	0
rőnyú	rWNU	cvcv	0
nedzsú	neDU	cvcv	0
mönyí	mwNI	cvcv	0
zúvo	zUvo	cvcv	0
mőfű	mWfY	cvcv	0
dzadzsá	dzaDA	cvcv	0
kízsö	kIZw	cvcv	0
cílu	cIlu	cvcv	0
tyűjő	KYjW	cvcv	0
tyünyi	KyNi	cvcv	0
lörí	lwrI	cvcv	0
csühö	Tyhw	cvcv	0
zsityí	ZiKI	cvcv	0
dotyü	doKy	cvcv	0
zsimű	ZimY	cvcv	0
zezá	zezA	cvcv	0
hózsű	hOZY	cvcv	0
hüvú	hyvU	cvcv	0
césú	cESU	cvcv	0
dzsótü	DOK	cvcv	0
dílú	dIlU	cvcv	0
nyüdző	NydzW	cvcv	0
dzsőcö	DWcw	cvcv	0
jőlé	jWlE	cvcv	0
hityo	hiKo	cvcv	0
pényó	pENO	cvcv	0
mule	mule	cvcv	0
cádzű	cAdzY	cvcv	0
szohö	sohw	cvcv	0
móví	mOvI	cvcv	0
jeszö	jesw	cvcv	0
fómí	fOmI	cvcv	0
méfá	mEfA	cvcv	0
jócú	jOcU	cvcv	0
tijú	tijU	cvcv	0
vinyí	viNI	cvcv	0
zsüdzí	ZydzI	cvcv	0
tyényó	KENO	cvcv	0
ródzsó	rODO	cvcv	0
madzo	madzo	cvcv	0
rého	rEho	cvcv	0
zsudzu	Zudzu	cvcv	0
tyemü	Kemy	cvcv	0
cícsű	cITY	cvcv	0
hósze	hOse	cvcv	0
caro	caro	cvcv	0
fűnú	fYnU	cvcv	0
nyőlú	NWlU	cvcv	0
dzúrí	dzUrI	cvcv	0
zúdzsű	zUDY	cvcv	0
zseha	Zeha	cvcv	0
pógú	pOgU	cvcv	0
csőnyü	TWNy	cvcv	0
púdú	pUdU	cvcv	0
lífő	lIfW	cvcv	0
dzsuné	DunE	cvcv	0
lüdzü	jdzy	cvcv	0
nyöjü	Nwjy	cvcv	0
dodzsö	doDw	cvcv	0
nime	nime	cvcv	0
dédzö	dEdzw	cvcv	0
zűdí	zYdI	cvcv	0
nyodzsú	NoDU	cvcv	0
didzö	didzw	cvcv	0
tyicsá	KiTA	cvcv	0
jesa	jeSa	cvcv	0
nadzsü	naDy	cvcv	0
möjú	mwjU	cvcv	0
púsű	pUSY	cvcv	0
zsődzsó	ZWDO	cvcv	0
míhű	mIhY	cvcv	0
conyo	coNo	cvcv	0
modü	mody	cvcv	0
tidzi	tidzi	cvcv	0
dzózi	dzOzi	cvcv	0
zsődzsú	ZWDU	cvcv	0
suvo	Suvo	cvcv	0
dozsű	doZY	cvcv	0
fűdzsö	fYDw	cvcv	0
szónyá	sONA	cvcv	0
lecö	lecw	cvcv	0
rűví	rYvI	cvcv	0
cásö	cASw	cvcv	0
dzsócse	DOTe	cvcv	0
dzóse	dzOSe	cvcv	0
gedzső	geDW	cvcv	0
zuszá	zusA	cvcv	0
jényö	jENw	cvcv	0
guho	guho	cvcv	0
csedzé	TedzE	cvcv	0
nyúcá	NUcA	cvcv	0
tézo	tEzo	cvcv	0
zácsü	zATy	cvcv	0
jőkű	jWkY	cvcv	0
tórú	tOrU	cvcv	0
mizsé	miZE	cvcv	0
jasü	jaSy	cvcv	0
dűzű	dYzY	cvcv	0
zsócá	ZOcA	cvcv	0
zőnű	zWnY	cvcv	0
fösö	fwSw	cvcv	0
zőtyi	zWKi	cvcv	0
mífé	mIfE	cvcv	0
dőnyé	dWNE	cvcv	0
lúdzso	lUDo	cvcv	0
pűlo	pYlo	cvcv	0
ziszí	zisI	cvcv	0
lekú	lekU	cvcv	0
kíká	kIkA	cvcv	0
dihá	dihA	cvcv	0
vűtyu	vYKu	cvcv	0
szüdü	sydy	cvcv	0
cédzso	cEDo	cvcv	0
kúkő	kUkW	cvcv	0
joszú	josU	cvcv	0
dzsecsu	DeTu	cvcv	0
dzsüfö	Dyfw	cvcv	0
litű	litY	cvcv	0
dzáhö	dzAhw	cvcv	0
hühi	hyhi	cvcv	0
tűfi	tYfi	cvcv	0
dziga	dziga	cvcv	0
pónyá	pONA	cvcv	0
socsö	SoTw	cvcv	0
zöfí	zwfI	cvcv	0
gátyö	gAKw	cvcv	0
sűvö	SYvw	cvcv	0
múcú	mUcU	cvcv	0
sücó	SycO	cvcv	0
sölu	Swlu	cvcv	0
zűdo	zYdo	cvcv	0
zsulo	Zulo	cvcv	0
nyúdzé	NUdzE	cvcv	0
tyüdzsú	KyDU	cvcv	0
rilí	rilI	cvcv	0
zsádzu	ZAdzu	cvcv	0
fászá	fAsA	cvcv	0
lölo	lwlo	cvcv	0
tyőgű	KWgY	cvcv	0
dzsocí	DocI	cvcv	0
lurö	lurw	cvcv	0
csúmá	TUmA	cvcv	0
dzsátű	DAtY	cvcv	0
rígö	rIgw	cvcv	0
mudzsé	muDE	cvcv	0
guzí	guzI	cvcv	0
dzsohú	DohU	cvcv	0
tyüro	Kyro	cvcv	0
lúlá	lUlA	cvcv	0
dzőhí	dzWhI	cvcv	0
fófí	fOfI	cvcv	0
szódzsí	sODI	cvcv	0
csityő	TiKW	cvcv	0
tőgű	tWgY	cvcv	0
nenö	nenw	cvcv	0
túcö	tUcw	cvcv	0
vódzsi	vODi	cvcv	0
dzútó	dzUtO	cvcv	0
nyahe	Nahe	cvcv	0
józú	jOzU	cvcv	0
dzsopü	Dopy	cvcv	0
dínyö	dINw	cvcv	0
nihö	nihw	cvcv	0
lűfé	lYfE	cvcv	0
jome	jome	cvcv	0
lőgá	lWgA	cvcv	0
nyegu	Negu	cvcv	0
nufű	nufY	cvcv	0
supö	Supw	cvcv	0
csevö	Tevw	cvcv	0
záfá	zAfA	cvcv	0
sónű	SOnY	cvcv	0
hapé	hapE	cvcv	0
dzsődö	DWdw	cvcv	0
zogu	zogu	cvcv	0
güjű	GjY	cvcv	0
nüzsí	NZI	cvcv	0
dzsetí	DetI	cvcv	0
júmo	jUmo	cvcv	0
zútyá	zUKA	cvcv	0
dinű	dinY	cvcv	0
dzúrü	dzUry	cvcv	0
nyüdzo	Nydzo	cvcv	0
düdzsü	dyDy	cvcv	0
guzsü	guZy	cvcv	0
dzemí	dzemI	cvcv	0
jozú	jozU	cvcv	0
tűnyá	tYNA	cvcv	0
lűlú	lYlU	cvcv	0
dzsőcsí	DWTI	cvcv	0
dzíjé	dzIjE	cvcv	0
rújü	rUjy	cvcv	0
zézsi	zEZi	cvcv	0
dzőhé	dzWhE	cvcv	0
zsüjö	Zyjw	cvcv	0
fáhá	fAhA	cvcv	0
fódzsó	fODO	cvcv	0
työjó	KwjO	cvcv	0
nyavü	Navy	cvcv	0
dzsudo	Dudo	cvcv	0
dzipu	dzipu	cvcv	0
tyőcé	KWcE	cvcv	0
nűjí	nYjI	cvcv	0
tyőcsú	KWTU	cvcv	0
jöcá	jwcA	cvcv	0
zsotyö	ZoKw	cvcv	0
rözo	rwzo	cvcv	0
vímú	vImU	cvcv	0
hüzso	hyZo	cvcv	0
zsésé	ZESE	cvcv	0
gícö	gIcw	cvcv	0
jime	jime	cvcv	0
kuzse	kuZe	cvcv	0
csazo	Tazo	cvcv	0
cöfö	cwfw	cvcv	0
pőzé	pWzE	cvcv	0
dzőszú	dzWsU	cvcv	0
vádzsá	vADA	cvcv	0
röru	rwru	cvcv	0
cúcé	cUcE	cvcv	0
tíno	tIno	cvcv	0
jájá	jAjA	cvcv	0
dözsu	dwZu	cvcv	0
zűzso	zYZo	cvcv	0
ződzó	zWdzO	cvcv	0
tígú	tIgU	cvcv	0
dzsópü	DOpy	cvcv	0
nyépú	NEpU	cvcv	0
zsétyö	ZEKw	cvcv	0
nyíní	NInI	cvcv	0
nyéjő	NEjW	cvcv	0
nyúca	NUca	cvcv	0
hőmű	hWmY	cvcv	0
pícso	pITo	cvcv	0
zséfá	ZEfA	cvcv	0
tyútyő	KUKW	cvcv	0
dzsépu	DEpu	cvcv	0
jízé	jIzE	cvcv	0
jődo	jWdo	cvcv	0
tyásé	KASE	cvcv	0
csiszu	Tisu	cvcv	0
pízsú	pIZU	cvcv	0
tűdzsü	tYDy	cvcv	0
mőfé	mWfE	cvcv	0
fínyá	fINA	cvcv	0
zsőfá	ZWfA	cvcv	0
dzsityú	DiKU	cvcv	0
lúdzo	lUdzo	cvcv	0
műmö	mYmw	cvcv	0
zúpu	zUpu	cvcv	0
hémó	hEmO	cvcv	0
nűlí	nYlI	cvcv	0
dzűgö	dzYgw	cvcv	0
gikö	gikw	cvcv	0
pücsű	pyTY	cvcv	0
hülö	hylw	cvcv	0
lájö	lAjw	cvcv	0
dzsínyő	DINW	cvcv	0
püzí	pyzI	cvcv	0
dzsűta	DYta	cvcv	0
tíla	tIla	cvcv	0
dzadzso	dzaDo	cvcv	0
tádzö	tAdzw	cvcv	0
zsőcé	ZWcE	cvcv	0
cánye	cANe	cvcv	0
núju	nUju	cvcv	0
dőga	dWga	cvcv	0
csécú	TEcU	cvcv	0
núhe	nUhe	cvcv	0
zsate	Zate	cvcv	0
tuzü	tuzy	cvcv	0
zsötű	ZwtY	cvcv	0
vónyő	vONW	cvcv	0
düzsü	dyZy	cvcv	0
tyevó	KevO	cvcv	0
tyaho	Kaho	cvcv	0
cűró	cYrO	cvcv	0
púní	pUnI	cvcv	0
szicsé	siTE	cvcv	0
csógo	TOgo	cvcv	0
nölu	nwlu	cvcv	0
dzsijű	DijY	cvcv	0
zécí	zEcI	cvcv	0
työfe	Kwfe	cvcv	0
gátyu	gAKu	cvcv	0
hűdzsá	hYDA	cvcv	0
vopí	vopI	cvcv	0
szedzsü	seDy	cvcv	0
tődzo	tWdzo	cvcv	0
dzsimö	Dimw	cvcv	0
rősú	rWSU	cvcv	0
mófö	mOfw	cvcv	0
cizö	cizw	cvcv	0
dződzsö	dzWDw	cvcv	0
hűdzse	hYDe	cvcv	0
csódzsö	TODw	cvcv	0
cülo	cylo	cvcv	0
szivé	sivE	cvcv	0
físe	fISe	cvcv	0
fédzö	fEdzw	cvcv	0
fápe	fApe	cvcv	0
tyászü	KAsy	cvcv	0
zágő	zAgW	cvcv	0
tyógú	KOgU	cvcv	0
cogá	cogA	cvcv	0
hofú	hofU	cvcv	0
csúle	TUle	cvcv	0
hivű	hivY	cvcv	0
hícu	hIcu	cvcv	0
vótyo	vOKo	cvcv	0
hufű	hufY	cvcv	0
vőjé	vWjE	cvcv	0
húpo	hUpo	cvcv	0
dzólo	dzOlo	cvcv	0
jenyö	jeNw	cvcv	0
dzezsö	dzeZw	cvcv	0
mísö	mISw	cvcv	0
véfu	vEfu	cvcv	0
dzsóru	DOru	cvcv	0
dzülü	dzyj	cvcv	0
haká	hakA	cvcv	0
dzsülú	DylU	cvcv	0
dzigö	dzigw	cvcv	0
láfü	lAfy	cvcv	0
tyésí	KESI	cvcv	0
szizí	sizI	cvcv	0
nehú	nehU	cvcv	0
zsítyú	ZIKU	cvcv	0
kúdú	kUdU	cvcv	0
höső	hwSW	cvcv	0
tyemó	KemO	cvcv	0
vuhe	vuhe	cvcv	0
füzső	fyZW	cvcv	0
tyirú	KirU	cvcv	0
dzsíjú	DIjU	cvcv	0
dzóhá	dzOhA	cvcv	0
jőszé	jWsE	cvcv	0
vúgő	vUgW	cvcv	0
pőzsa	pWZa	cvcv	0
gédzö	gEdzw	cvcv	0
zsodzá	ZodzA	cvcv	0
zsűsö	ZYSw	cvcv	0
fákő	fAkW	cvcv	0
tyuge	Kuge	cvcv	0
síhú	SIhU	cvcv	0
müvú	myvU	cvcv	0
vogö	vogw	cvcv	0
vőnú	vWnU	cvcv	0
cesa	ceSa	cvcv	0
gücű	GcY	cvcv	0
szémá	sEmA	cvcv	0
vafú	vafU	cvcv	0
zsocsí	ZoTI	cvcv	0
zsóvú	ZOvU	cvcv	0
dzúpo	dzUpo	cvcv	0
cuzsá	cuZA	cvcv	0
jécsa	jETa	cvcv	0
dzsumő	DumW	cvcv	0
hózsú	hOZU	cvcv	0
kígi	kIgi	cvcv	0
vütyó	vyKO	cvcv	0
tyőmu	KWmu	cvcv	0
hűpu	hYpu	cvcv	0
nyővé	NWvE	cvcv	0
záfö	zAfw	cvcv	0
müsé	mySE	cvcv	0
kedza	kedza	cvcv	0
gulé	gulE	cvcv	0
sümí	SymI	cvcv	0
nájö	nAjw	cvcv	0
tyiku	Kiku	cvcv	0
dzsúmé	DUmE	cvcv	0
píce	pIce	cvcv	0
tyómü	KOmy	cvcv	0
dzűle	dzYle	cvcv	0
szözsá	swZA	cvcv	0
tyacsű	KaTY	cvcv	0
nűmú	nYmU	cvcv	0
dzómo	dzOmo	cvcv	0
lílú	lIlU	cvcv	0
tédzi	tEdzi	cvcv	0
jácso	jATo	cvcv	0
lűhí	lYhI	cvcv	0
tyőmű	KWmY	cvcv	0
zsóza	ZOza	cvcv	0
róhő	rOhW	cvcv	0
künyu	kyNu	cvcv	0
dzükó	dzykO	cvcv	0
tyüze	Kyze	cvcv	0
vözu	vwzu	cvcv	0
dzsöcsü	DwTy	cvcv	0
micso	miTo	cvcv	0
gídző	gIdzW	cvcv	0
tyóco	KOco	cvcv	0
dzsúdzá	DUdzA	cvcv	0
zótö	zOtw	cvcv	0
tyotyí	KoKI	cvcv	0
lúcu	lUcu	cvcv	0
vögű	vwgY	cvcv	0
pekú	pekU	cvcv	0
nyócsö	NOTw	cvcv	0
hídzsí	hIDI	cvcv	0
dzsőru	DWru	cvcv	0
dzíja	dzIja	cvcv	0
dzójé	dzOjE	cvcv	0
työju	Kwju	cvcv	0
szudzi	sudzi	cvcv	0
sizső	SiZW	cvcv	0
cadző	cadzW	cvcv	0
rudzsá	ruDA	cvcv	0
kityí	kiKI	cvcv	0
dádzu	dAdzu	cvcv	0
tyítyo	KIKo	cvcv	0
dzijő	dzijW	cvcv	0
zsímí	ZImI	cvcv	0
físzi	fIsi	cvcv	0
zönyi	zwNi	cvcv	0
dzsucsö	DuTw	cvcv	0
csésé	TESE	cvcv	0
csíco	TIco	cvcv	0
vázsü	vAZy	cvcv	0
cudí	cudI	cvcv	0
zsécü	ZEcy	cvcv	0
szudzö	sudzw	cvcv	0
memé	memE	cvcv	0
szefú	sefU	cvcv	0
fódó	fOdO	cvcv	0
váhu	vAhu	cvcv	0
dínő	dInW	cvcv	0
fószü	fOsy	cvcv	0
púkö	pUkw	cvcv	0
dzéhő	dzEhW	cvcv	0
radzé	radzE	cvcv	0
lúnő	lUnW	cvcv	0
zsízse	ZIZe	cvcv	0
gúdzí	gUdzI	cvcv	0
kógö	kOgw	cvcv	0
dzocsé	dzoTE	cvcv	0
dzétyu	dzEKu	cvcv	0
mivü	mivy	cvcv	0
tyózsá	KOZA	cvcv	0
gocő	gocW	cvcv	0
votú	votU	cvcv	0
dzűcú	dzYcU	cvcv	0
szőpö	sWpw	cvcv	0
sisu	SiSu	cvcv	0
dzöko	dzwko	cvcv	0
cézso	cEZo	cvcv	0
dzülí	dzylI	cvcv	0
múdzsé	mUDE	cvcv	0
dűszí	dYsI	cvcv	0
höcu	hwcu	cvcv	0
tyanyú	KaNU	cvcv	0
mícsu	mITu	cvcv	0
tyüjé	KyjE	cvcv	0
púcő	pUcW	cvcv	0
zedé	zedE	cvcv	0
müká	mykA	cvcv	0
secü	Secy	cvcv	0
pévó	pEvO	cvcv	0
zsédzí	ZEdzI	cvcv	0
dzodű	dzodY	cvcv	0
työcu	Kwcu	cvcv	0
szacsé	saTE	cvcv	0
rütyö	ryKw	cvcv	0
nidö	nidw	cvcv	0
tyésá	KESA	cvcv	0
fínyú	fINU	cvcv	0
dzsőse	DWSe	cvcv	0
szazű	sazY	cvcv	0
vozü	vozy	cvcv	0
dzsődzsü	DWDy	cvcv	0
sítyí	SIKI	cvcv	0
gőká	gWkA	cvcv	0
zévo	zEvo	cvcv	0
sísú	SISU	cvcv	0
zőcső	zWTW	cvcv	0
dzsiszá	DisA	cvcv	0
pűmí	pYmI	cvcv	0
dzelí	dzelI	cvcv	0
zidzé	zidzE	cvcv	0
tőgé	tWgE	cvcv	0
dőmű	dWmY	cvcv	0
nűme	nYme	cvcv	0
púhu	pUhu	cvcv	0
gápí	gApI	cvcv	0
ridzá	ridzA	cvcv	0
fűjö	fYjw	cvcv	0
tyaszo	Kaso	cvcv	0
dzőví	dzWvI	cvcv	0
cídzi	cIdzi	cvcv	0
nötí	nwtI	cvcv	0
pésö	pESw	cvcv	0
zsítyő	ZIKW	cvcv	0
lüpí	jpI	cvcv	0
tyőfú	KWfU	cvcv	0
dzsűsze	DYse	cvcv	0
nyőtyá	NWKA	cvcv	0
dzőjo	dzWjo	cvcv	0
kúgő	kUgW	cvcv	0
nútyo	nUKo	cvcv	0
csúsu	TUSu	cvcv	0
lárő	lArW	cvcv	0
nyőnö	NWnw	cvcv	0
nyédú	NEdU	cvcv	0
zízú	zIzU	cvcv	0
cővá	cWvA	cvcv	0
hudő	hudW	cvcv	0
cícsa	cITa	cvcv	0
vőzú	vWzU	cvcv	0
dűzú	dYzU	cvcv	0
csúhu	TUhu	cvcv	0
rálí	rAlI	cvcv	0
kído	kIdo	cvcv	0
hópó	hOpO	cvcv	0
főgo	fWgo	cvcv	0
zsálo	ZAlo	cvcv	0
szűga	sYga	cvcv	0
tövű	twvY	cvcv	0
godé	godE	cvcv	0
fife	fife	cvcv	0
fórá	fOrA	cvcv	0
zsőjá	ZWjA	cvcv	0
dzsőszó	DWsO	cvcv	0
cőlö	cWlw	cvcv	0
müví	myvI	cvcv	0
nyóhü	NOhy	cvcv	0
zsojő	ZojW	cvcv	0
lőkö	lWkw	cvcv	0
vókí	vOkI	cvcv	0
nyeko	Neko	cvcv	0
túho	tUho	cvcv	0
nögó	nwgO	cvcv	0
júfü	jUfy	cvcv	0
cédzsö	cEDw	cvcv	0
dűdö	dYdw	cvcv	0
gepö	gepw	cvcv	0
sogű	SogY	cvcv	0
hűdzi	hYdzi	cvcv	0
jáhá	jAhA	cvcv	0
dzagő	dzagW	cvcv	0
jécű	jEcY	cvcv	0
dzsútyé	DUKE	cvcv	0
jöhó	jwhO	cvcv	0
múzá	mUzA	cvcv	0
sísí	SISI	cvcv	0
nyúvü	NUvy	cvcv	0
zsínö	ZInw	cvcv	0
dzomú	dzomU	cvcv	0
vídzo	vIdzo	cvcv	0
dúko	dUko	cvcv	0
tőpo	tWpo	cvcv	0
jányü	jANy	cvcv	0
cönu	cwnu	cvcv	0
fídzá	fIdzA	cvcv	0
nyuno	Nuno	cvcv	0
dzipő	dzipW	cvcv	0
dzsűdzsé	DYDE	cvcv	0
nüjű	NjY	cvcv	0
fízü	fIzy	cvcv	0
ludzó	ludzO	cvcv	0
tőzo	tWzo	cvcv	0
jodu	jodu	cvcv	0
nécá	nEcA	cvcv	0
vőme	vWme	cvcv	0
csöjo	Twjo	cvcv	0
dého	dEho	cvcv	0
gósí	gOSI	cvcv	0
kázo	kAzo	cvcv	0
dzsüví	DyvI	cvcv	0
fühú	fyhU	cvcv	0
dzsacú	DacU	cvcv	0
müdzsú	myDU	cvcv	0
hőgú	hWgU	cvcv	0
zsökű	ZwkY	cvcv	0
sólí	SOlI	cvcv	0
gúkí	gUkI	cvcv	0
játö	jAtw	cvcv	0
työzsa	KwZa	cvcv	0
lólí	lOlI	cvcv	0
tyifu	Kifu	cvcv	0
tyúlű	KUlY	cvcv	0
guzá	guzA	cvcv	0
dődzsa	dWDa	cvcv	0
hüzsü	hyZy	cvcv	0
múké	mUkE	cvcv	0
dzomó	dzomO	cvcv	0
cőjő	cWjW	cvcv	0
dikü	diky	cvcv	0
höpé	hwpE	cvcv	0
vötú	vwtU	cvcv	0
nüzsá	NZA	cvcv	0
cüsö	cySw	cvcv	0
tűtyá	tYKA	cvcv	0
gedzsö	geDw	cvcv	0
nyózü	NOzy	cvcv	0
tyűsze	KYse	cvcv	0
züzsü	zyZy	cvcv	0
sődzsú	SWDU	cvcv	0
dzópő	dzOpW	cvcv	0
